Error_date	Error_time	Error_type	Error_descripion
20221005	23:34:07	SUCCESS	BATCH test.bat
20221005	23:34:07	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:34:07	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:34:07	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:34:07	SUCCESS	SCRIPT 0.script1.sql
20221005	23:48:43	SUCCESS	BATCH test.bat
20221005	23:48:43	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:48:43	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:48:43	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:48:43	SUCCESS	SCRIPT 0.script1.sql
20221005	23:49:23	SUCCESS	BATCH test.bat
20221005	23:49:23	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:49:23	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:49:23	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:49:23	SUCCESS	SCRIPT 0.script1.sql
20221005	23:50:33	SUCCESS	BATCH test.bat
20221005	23:50:38	SUCCESS	BATCH test.bat
20221005	23:50:38	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:50:38	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:50:38	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:50:38	SUCCESS	SCRIPT 0.script1.sql
20221005	23:52:52	SUCCESS	BATCH test.bat
20221005	23:52:57	SUCCESS	BATCH test.bat
20221005	23:52:57	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:52:57	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:52:57	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:52:57	SUCCESS	SCRIPT 0.script1.sql
20221005	23:53:38	SUCCESS	BATCH test.bat
20221005	23:53:39	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:53:39	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:53:39	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:53:39	SUCCESS	SCRIPT 0.script1.sql
20221005	23:54:07	SUCCESS	BATCH test.bat
20221005	23:54:07	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:54:07	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:54:07	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:54:07	ERROR	SCRIPT 0.script1.sql - SQLSTATE[42000]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Sintassi non corretta in prossimità di 'GO'.
20221005	23:54:30	SUCCESS	BATCH test.bat
20221005	23:54:30	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:54:30	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:54:30	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:54:30	ERROR	SCRIPT 0.script1.sql - SQLSTATE[42S01]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Nel database esiste già un oggetto con il nome 'vTest'.
20221005	23:54:50	SUCCESS	BATCH test.bat
20221005	23:54:50	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:54:50	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:54:50	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:54:50	SUCCESS	SCRIPT 0.script1.sql
20221005	23:55:44	SUCCESS	BATCH test.bat
20221005	23:55:44	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:55:44	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:55:44	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:55:44	SUCCESS	SCRIPT 0.script1.sql
20221005	23:59:39	SUCCESS	BATCH test.bat
20221005	23:59:39	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221005	23:59:39	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221005	23:59:39	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221005	23:59:39	SUCCESS	SCRIPT 0.script1.sql
20221005	23:59:57	SUCCESS	BATCH test.bat
20221006	00:00:01	SUCCESS	BATCH test.bat
20221006	00:00:01	SUCCESS	FILE C:/Users/giovo/Documents/Tecnico/php/Roger/csv/test.csv
20221006	00:00:01	SUCCESS	PROCEDURE - Autoconcat successful with params input_%, FINAL_TABLE, FIELD_1, FIELD_2, FIELD_3, FIELD_4, FIELD_5
20221006	00:00:01	SUCCESS	PROCEDURE - Autoconcat successful with params input2_%, FINAL_TABLE2, FIELD_1, FIELD_2
20221006	00:00:01	SUCCESS	SCRIPT 0.script1.sql
